"YEAR","MONTH","DATE","SITE","TRANSECT","DISTANCE","SIDE","SAND_DEPTH"
2000,9,"2000-09-28","BULL",1,1,"I",-99999
2000,9,"2000-09-28","BULL",1,1,"O",-99999
2000,9,"2000-09-28","BULL",1,2,"I",-99999
2000,9,"2000-09-28","BULL",1,2,"O",-99999
2000,9,"2000-09-28","BULL",1,5,"I",-99999
2000,9,"2000-09-28","BULL",1,6,"O",-99999
2000,9,"2000-09-28","BULL",1,8,"I",-99999
2000,9,"2000-09-28","BULL",1,9,"I",-99999
2000,9,"2000-09-28","BULL",1,17,"I",-99999
2000,9,"2000-09-28","BULL",1,22,"I",-99999
2000,9,"2000-09-28","BULL",1,23,"I",-99999
2000,9,"2000-09-28","BULL",1,25,"I",-99999
2000,9,"2000-09-28","BULL",1,35,"I",-99999
2000,9,"2000-09-28","BULL",1,36,"O",-99999
2000,9,"2000-09-28","BULL",1,37,"O",-99999
2000,9,"2000-09-28","BULL",3,1,"I",-99999
2000,9,"2000-09-28","BULL",3,3,"O",-99999
2000,9,"2000-09-28","BULL",3,4,"O",-99999
2000,9,"2000-09-28","BULL",3,5,"I",-99999
2000,9,"2000-09-28","BULL",3,5,"O",-99999
2000,9,"2000-09-28","BULL",3,6,"O",-99999
2000,9,"2000-09-28","BULL",3,9,"O",-99999
2000,9,"2000-09-28","BULL",3,13,"I",-99999
2000,9,"2000-09-28","BULL",3,14,"I",-99999
2000,9,"2000-09-28","BULL",3,14,"O",-99999
2000,9,"2000-09-28","BULL",3,15,"I",-99999
2000,9,"2000-09-28","BULL",3,15,"O",-99999
2000,9,"2000-09-28","BULL",3,16,"O",-99999
2000,9,"2000-09-28","BULL",3,17,"I",-99999
2000,9,"2000-09-28","BULL",3,17,"O",-99999
2000,9,"2000-09-28","BULL",3,18,"O",-99999
2000,9,"2000-09-28","BULL",3,19,"I",-99999
2000,9,"2000-09-28","BULL",3,19,"O",-99999
2000,9,"2000-09-28","BULL",3,20,"O",-99999
2000,9,"2000-09-28","BULL",3,21,"O",-99999
2000,9,"2000-09-28","BULL",3,22,"O",-99999
2000,9,"2000-09-28","BULL",3,23,"O",-99999
2000,9,"2000-09-28","BULL",3,24,"I",-99999
2000,9,"2000-09-28","BULL",3,24,"O",-99999
2000,9,"2000-09-28","BULL",3,25,"I",-99999
2000,9,"2000-09-28","BULL",3,25,"O",-99999
2000,9,"2000-09-28","BULL",3,26,"I",-99999
2000,9,"2000-09-28","BULL",3,27,"I",-99999
2000,9,"2000-09-28","BULL",3,27,"O",-99999
2000,9,"2000-09-28","BULL",3,28,"O",-99999
2000,9,"2000-09-28","BULL",3,31,"I",-99999
2000,9,"2000-09-28","BULL",3,31,"O",-99999
2000,9,"2000-09-28","BULL",3,32,"I",-99999
2000,9,"2000-09-28","BULL",3,32,"O",-99999
2000,9,"2000-09-28","BULL",3,33,"I",-99999
2000,9,"2000-09-28","BULL",3,34,"I",-99999
2000,9,"2000-09-28","BULL",3,35,"I",-99999
2000,9,"2000-09-28","BULL",3,36,"I",-99999
2000,9,"2000-09-28","BULL",3,37,"I",-99999
2000,9,"2000-09-28","BULL",3,37,"O",-99999
2000,9,"2000-09-28","BULL",3,38,"I",-99999
2000,9,"2000-09-28","BULL",3,39,"O",-99999
2000,9,"2000-09-28","BULL",3,40,"I",-99999
2000,9,"2000-09-28","BULL",6,1,"O",-99999
2000,9,"2000-09-28","BULL",6,7,"I",-99999
2000,9,"2000-09-28","BULL",6,10,"I",-99999
2000,9,"2000-09-28","BULL",6,14,"O",-99999
2000,9,"2000-09-28","BULL",6,17,"I",-99999
2000,9,"2000-09-28","BULL",6,21,"I",-99999
2000,9,"2000-09-28","BULL",6,22,"I",-99999
2000,9,"2000-09-28","BULL",6,26,"I",-99999
2000,9,"2000-09-28","BULL",6,27,"O",-99999
2000,9,"2000-09-28","BULL",6,28,"I",-99999
2000,9,"2000-09-28","BULL",6,30,"I",-99999
2000,9,"2000-09-28","BULL",6,30,"O",-99999
2000,9,"2000-09-28","BULL",6,31,"I",-99999
2000,9,"2000-09-28","BULL",6,31,"O",-99999
2000,9,"2000-09-28","BULL",6,32,"I",-99999
2000,9,"2000-09-28","BULL",6,32,"O",-99999
2000,9,"2000-09-28","BULL",6,33,"I",-99999
2000,9,"2000-09-28","BULL",6,33,"O",-99999
2000,9,"2000-09-28","BULL",6,34,"I",-99999
2000,9,"2000-09-28","BULL",6,34,"O",-99999
2000,9,"2000-09-28","BULL",6,35,"I",-99999
2000,9,"2000-09-28","BULL",6,36,"I",-99999
2000,9,"2000-09-28","BULL",6,37,"I",-99999
2000,9,"2000-09-28","BULL",6,37,"O",-99999
2000,9,"2000-09-28","BULL",6,38,"I",-99999
2000,9,"2000-09-28","BULL",6,38,"O",-99999
2000,9,"2000-09-28","BULL",6,39,"I",-99999
2000,9,"2000-09-28","BULL",6,39,"O",-99999
2000,9,"2000-09-28","BULL",6,40,"I",-99999
2000,9,"2000-09-08","CARP",2,1,"I",-99999
2000,9,"2000-09-08","CARP",2,13,"O",-99999
2000,9,"2000-09-08","CARP",2,14,"O",-99999
2000,9,"2000-09-08","CARP",2,36,"I",-99999
2000,9,"2000-09-08","CARP",2,36,"O",-99999
2000,9,"2000-09-08","CARP",2,37,"O",-99999
2000,9,"2000-09-08","CARP",3,1,"O",-99999
2000,9,"2000-09-08","CARP",3,4,"I",-99999
2000,9,"2000-09-08","CARP",3,4,"O",-99999
2000,9,"2000-09-08","CARP",3,5,"I",-99999
2000,9,"2000-09-08","CARP",3,5,"O",-99999
2000,9,"2000-09-08","CARP",3,6,"I",-99999
2000,9,"2000-09-08","CARP",3,7,"I",-99999
2000,9,"2000-09-08","CARP",3,8,"I",-99999
2000,9,"2000-09-08","CARP",3,8,"O",-99999
2000,9,"2000-09-08","CARP",3,9,"O",-99999
2000,9,"2000-09-08","CARP",3,13,"I",-99999
2000,9,"2000-09-08","CARP",3,14,"O",-99999
2000,9,"2000-09-08","CARP",3,15,"O",-99999
2000,9,"2000-09-08","CARP",3,16,"I",-99999
2000,9,"2000-09-08","CARP",3,17,"O",-99999
2000,9,"2000-09-08","CARP",3,19,"O",-99999
2000,9,"2000-09-08","CARP",3,20,"I",-99999
2000,9,"2000-09-08","CARP",3,20,"O",-99999
2000,9,"2000-09-08","CARP",3,21,"I",-99999
2000,9,"2000-09-08","CARP",3,22,"O",-99999
2000,9,"2000-09-08","CARP",3,23,"O",-99999
2000,9,"2000-09-08","CARP",3,24,"I",-99999
2000,9,"2000-09-08","CARP",3,24,"O",-99999
2000,9,"2000-09-08","CARP",3,25,"O",-99999
2000,9,"2000-09-08","CARP",3,26,"O",-99999
2000,9,"2000-09-08","CARP",3,27,"I",-99999
2000,9,"2000-09-08","CARP",3,27,"O",-99999
2000,9,"2000-09-08","CARP",3,28,"O",-99999
2000,9,"2000-09-08","CARP",3,29,"I",-99999
2000,9,"2000-09-08","CARP",3,29,"O",-99999
2000,9,"2000-09-08","CARP",3,30,"I",-99999
2000,9,"2000-09-08","CARP",3,31,"O",-99999
2000,9,"2000-09-08","CARP",3,33,"I",-99999
2000,9,"2000-09-08","CARP",3,33,"O",-99999
2000,9,"2000-09-08","CARP",3,34,"I",-99999
2000,9,"2000-09-08","CARP",3,34,"O",-99999
2000,9,"2000-09-08","CARP",3,35,"O",-99999
2000,9,"2000-09-08","CARP",3,36,"I",-99999
2000,9,"2000-09-08","CARP",3,36,"O",-99999
2000,9,"2000-09-08","CARP",3,38,"O",-99999
2000,9,"2000-09-08","CARP",3,40,"I",-99999
2000,9,"2000-09-08","CARP",3,40,"O",-99999
2000,9,"2000-09-08","CARP",4,25,"O",-99999
2000,9,"2000-09-08","CARP",4,28,"O",-99999
2000,9,"2000-09-08","CARP",4,29,"I",-99999
2000,9,"2000-09-08","CARP",4,29,"O",-99999
2000,9,"2000-09-08","CARP",4,30,"I",-99999
2000,9,"2000-09-08","CARP",4,30,"O",-99999
2000,9,"2000-09-08","CARP",4,31,"I",-99999
2000,9,"2000-09-08","CARP",4,31,"O",-99999
2000,9,"2000-09-08","CARP",4,32,"O",-99999
2000,9,"2000-09-08","CARP",4,33,"O",-99999
2000,9,"2000-09-08","CARP",4,34,"O",-99999
2000,9,"2000-09-08","CARP",4,36,"O",-99999
2000,9,"2000-09-08","CARP",4,37,"O",-99999
2000,9,"2000-09-08","CARP",4,38,"O",-99999
2000,9,"2000-09-08","CARP",4,39,"O",-99999
2000,9,"2000-09-08","CARP",4,40,"O",-99999
2000,9,"2000-09-08","CARP",5,11,"I",-99999
2000,9,"2000-09-08","CARP",5,12,"I",-99999
2000,9,"2000-09-08","CARP",5,13,"O",-99999
2000,9,"2000-09-08","CARP",5,14,"O",-99999
2000,9,"2000-09-08","CARP",5,15,"O",-99999
2000,9,"2000-09-08","CARP",5,16,"O",-99999
2000,9,"2000-09-08","CARP",5,17,"O",-99999
2000,9,"2000-09-08","CARP",5,19,"O",-99999
2000,9,"2000-09-08","CARP",5,20,"O",-99999
2000,9,"2000-09-08","CARP",5,23,"I",-99999
2000,9,"2000-09-08","CARP",5,23,"O",-99999
2000,9,"2000-09-08","CARP",5,24,"I",-99999
2000,9,"2000-09-08","CARP",5,24,"O",-99999
