scientific_name,size_cm,size_cm_source,size_cm_level,thickness,thickness_source,thickness_level,position_to_benthos,position_to_benthos_source,position_to_benthos_level,articulated,articulated_source,articulated_source_level,stipe,stipe_source,stipe_level,midrib,midrib_source,midrib_level,branching,branching_source,branching_level,branch_shape,branch_shape_source,branch_shape_level,blades,blades_source,blades_level,blade_category,blade_category_source,blade_category_level,coenocyte,coenocyte_source,coenocyte_level,attachment,attachment_source,attachment_level,tissue_complexity,tissue_complexity_source,tissue_complexity_level,growth,growth_source,growth_level,calcification,calcification_source,calcification_level,horizontal_spread,horizontal_spread_source,horizontal_spread_level,life_cycle,life_cycle_source,life_cycle_level,gametes,gametes_source,gametes_level',pneumatocysts,pneumatocysts_source,pneumatocysts_level,tidal,tidal_source,tidal_level,bottom_type,bottom_type_source,bottom_type_level,eco_zone,eco_zone_source,eco_zone_level,longevity,longevity_source,longevity_level
Amphiroa beauvoisii,6,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",,4,NA,NA,upright or prostrate,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,y,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",,n,,,n,,,irregular,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,flattened,"Harvey, A. S., W. J. Woelkerling, and A. J. K. Millar. 2009. The genus Amphiroa (Lithophylloideae, Corallinaceae, Rhodophyta) from the temperate coasts of the Australian continent, including the newly described A. klochkovana. Phycologia 48:258–290.",species,not leaflike,,,none,,,n,,,crustose,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,pseudoparenchymatous,,,intercalary or diffuse,"Dolan, S. 2001. The use of medullary unit patterns of intergenicula and genicula in the taxonomy of Amphiroa (Corallinaceae, Rhodophyta). European Journal of Phycology 36:397–407.",genus,y,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,perennial,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",division
Anisocladella pacifica,5,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,1,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,upright,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,y,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,y,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,irregular,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,flattened,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,leaflike,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865.",species,many small,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865.",species,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,discoid,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,pseudoparenchymatous,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,apical,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,n,,,NA,NA,NA,NA,,,NA,,,n,,,NA,,,hard,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,NA,,,perennial,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",division
Acrosorium ciliolatum,8,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,1,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,upright,AB assigned,species,n,"Smith, G. M., G. J. Hollenberg, and I. A. Abbott. 1969. Marine algae of the Monterey Peninsula, California. Second edition. Stanford Univ. Pr, Stanford, Calif.",,n,,,n,NA,NA,irregular,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,flattened,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,not leaflike,AB assigned,species,many small,AB assigned,species,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,discoid,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,pseudoparenchymatous,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,apical,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,n,,,NA,,,NA,,,NA,,,n,,,both,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,epiphytic/hard,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,NA,,,perennial,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",division
Cryptopleura ruprechtiana,35,"Smith, G. M., G. J. Hollenberg, and I. A. Abbott. 1969. Marine algae of the Monterey Peninsula, California. Second edition. Stanford Univ. Pr, Stanford, Calif.",,4,NA,NA,upright,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,n,,,n,,,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,irregular,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,flattened,AB assigned,species,leaflike,AB assigned,species,many small,AB assigned,species,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,discoid,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,pseudoparenchymatous,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,apical,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,n,,,NA,,,NA,,,NA,,,n,,,subtidal,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,hard,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,NA,,,perennial,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",division
Bossiella orbigniana,8,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",,4,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,upright,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,y,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,n,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,y,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,irregular,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,flattened,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,not leaflike,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,none,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,n,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,crustose,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,pseudoparenchymatous,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,apical,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,y,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,NA,,,triphasic,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,oogamous,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,n,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,both?,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,hard,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,temperate,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865. ",,perennial,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",division
Halymenia spp.; Schizymenia pacifica,NA,,,NA,NA,NA,upright,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,annual,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species
Calliarthron cheilosporioides,30,"Smith, G. M., G. J. Hollenberg, and I. A. Abbott. 1969. Marine algae of the Monterey Peninsula, California. Second edition. Stanford Univ. Pr, Stanford, Calif.",species,4,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865.",family,upright or prostrate,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,y,"Smith, G. M., G. J. Hollenberg, and I. A. Abbott. 1969. Marine algae of the Monterey Peninsula, California. Second edition. Stanford Univ. Pr, Stanford, Calif.",,n,,,n,,,pinnate,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,flattened,AB assigned,species,not leaflike,AB assigned,species,none,AB assigned,species,n,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865.",family,crustose,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,pseudoparenchymatous,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865.",family,apical,"Fong, C. R., E. R. Ryznar, L. L. Smith, and P. Fong. 2023. Towards a trait-based framework for marine macroalgae: Using categorical data to explore the nature of emergent functional groups. Journal of Ecology 111:1848–1865.",family,y,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,NA,,,NA,,,NA,,,n,,,both,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,hard,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,NA,,,perennial,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",division
Chondracanthus corymbiferus; Chondracanthus exasperatus,50,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",,4,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,upright,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,n,,,y,"Hughey, J. R., and M. H. Hommersand. 2008. Morphological and molecular systematic study of Chondracanthus (Gigartinaceae, Rhodophyta) from Pacific North America. Phycologia 47:124–155.",genus,n,,,irregular,,,flattened,,,leaflike,,,many small,,,n,,,discoid,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,pseudoparenchymatous,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,apical,"Hughey, J. R., and M. H. Hommersand. 2008. Morphological and molecular systematic study of Chondracanthus (Gigartinaceae, Rhodophyta) from Pacific North America. Phycologia 47:124–155.",genus,n,,,NA,,,NA,,,NA,,,n,,,both,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,hard,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,NA,,,perennial,"Breda, V. A., and M. S. Foster. 1985. Composition, abundance, and phenology of foliose red algae associated with two central California kelp forests. Journal of Experimental Marine Biology and Ecology 94:115–130.",species
Callophyllis flabellulata,18,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,4,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,upright,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",family,n,"Smith, G. M., G. J. Hollenberg, and I. A. Abbott. 1969. Marine algae of the Monterey Peninsula, California. Second edition. Stanford Univ. Pr, Stanford, Calif.",,n,,,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,irregular,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,flattened,AB assigned,species,leaflike,AB assigned,species,many small,AB assigned,species,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",order,discoid,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,pseudoparenchymatous,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,apical,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",order,n,,species,NA,,,NA,,,NA,,,n,,,subtidal,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,epiphytic/hard,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,NA,,,perennial,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",division
Cladophora graminea,10,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,4,NA,NA,upright,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,n,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",,n,,,n,,,dichotomous,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,NA,,,not leaflike,AB assigned,species,none,AB assigned,species,y,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",order,rhizoidal,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",genus,NA,,,intercalary or diffuse,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",class,n,,,NA,,,alternation of generations,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",order,NA,,,n,,,both,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,hard,"Abbott, I. A., and G. J. Hollenberg. 1982. Marine algae of California. Stanford Univ. Pr, Stanford, Calif.",species,NA,,,NA,,
